"NH_Index","NH_ID","X","Y","N","A","Ap","Ar","Hs","Ho","FIS","HWE_p","HetEx_p","HomEx_p","NS_ex0.10","NS_ex0.05","NS_ex0.02","NS_ex0.00"
1,"Indiv1",800,24800,29,4,0.8511,3.8976,0.5648,0.581,,0.4084,0.1893,0.2339,13.5,14.9,15.1,17.1
2,"Indiv2",800,23756.52174,27,4.05,0.8617,3.9849,0.5687,0.5704,,0.4011,0.1616,0.2918,12.3,13.8,14.6,16.7
3,"Indiv3",800,22713.04348,26,4.05,0.8617,3.9931,0.5676,0.5673,,0.4,0.1392,0.2948,11.5,12.5,13.4,15.3
4,"Indiv4",800,21669.56522,23,4.05,0.8617,4.0081,0.555,0.5652,,0.5189,0.1484,0.3007,11.8,13.6,15.5,15.5
5,"Indiv5",800,20626.08696,22,4.1,0.8723,4.071,0.5582,0.5682,,0.5275,0.2153,0.3602,23.1,27.5,30.4,30.4
6,"Indiv6",800,19582.6087,13,,,,,,,,,,,,,
7,"Indiv7",800,18539.13043,7,,,,,,,,,,,,,
8,"Indiv8",800,17495.65217,7,,,,,,,,,,,,,
9,"Indiv9",800,16452.17391,7,,,,,,,,,,,,,
10,"Indiv10",800,15408.69565,9,,,,,,,,,,,,,
11,"Indiv11",800,14365.21739,9,,,,,,,,,,,,,
12,"Indiv12",800,13321.73913,9,,,,,,,,,,,,,
13,"Indiv13",800,12278.26087,11,,,,,,,,,,,,,
14,"Indiv14",800,11234.78261,18,,,,,,,,,,,,,
15,"Indiv15",800,10191.30435,24,4.35,0.9255,4.2588,0.6129,0.6,0.0275,0.5111,0.2707,0.4554,21.5,22.4,31.5,31.5
16,"Indiv16",800,9147.826087,24,4.4,0.9362,4.2995,0.6135,0.6063,0.016,0.4989,0.2651,0.4054,17.6,18.8,23.2,23.2
17,"Indiv17",800,8104.347826,19,,,,,,,,,,,,,
18,"Indiv18",800,7060.869565,15,,,,,,,,,,,,,
19,"Indiv19",800,6017.391304,12,,,,,,,,,,,,,
20,"Indiv20",800,4973.913043,9,,,,,,,,,,,,,
21,"Indiv21",800,3930.434783,7,,,,,,,,,,,,,
22,"Indiv22",800,2886.956522,8,,,,,,,,,,,,,
23,"Indiv23",800,1843.478261,9,,,,,,,,,,,,,
24,"Indiv24",800,800,6,,,,,,,,,,,,,
25,"Indiv25",1843.478261,24800,30,4,0.8511,3.8892,0.5655,0.58,,0.3825,0.1155,0.256,14.4,15,15.2,17.2
26,"Indiv26",1843.478261,23756.52174,26,4,0.8511,3.9243,0.568,0.5769,,0.4236,0.163,0.2963,12.3,13.3,14,16
27,"Indiv27",1843.478261,22713.04348,33,4.2,0.8936,4.0738,0.5725,0.5758,,0.4632,0.1393,0.3296,16.3,18.8,21,21.3
28,"Indiv28",1843.478261,21669.56522,28,4.15,0.883,4.0598,0.5669,0.5679,,0.4602,0.1503,0.2933,14.5,14.8,16.6,18.8
29,"Indiv29",1843.478261,20626.08696,26,4.05,0.8617,3.9833,0.5644,0.5692,,0.4652,0.1488,0.3315,11.7,11.8,12.4,14.1
30,"Indiv30",1843.478261,19582.6087,14,,,,,,,,,,,,,
31,"Indiv31",1843.478261,18539.13043,10,,,,,,,,,,,,,
32,"Indiv32",1843.478261,17495.65217,10,,,,,,,,,,,,,
33,"Indiv33",1843.478261,16452.17391,11,,,,,,,,,,,,,
34,"Indiv34",1843.478261,15408.69565,11,,,,,,,,,,,,,
35,"Indiv35",1843.478261,14365.21739,13,,,,,,,,,,,,,
36,"Indiv36",1843.478261,13321.73913,13,,,,,,,,,,,,,
37,"Indiv37",1843.478261,12278.26087,13,,,,,,,,,,,,,
38,"Indiv38",1843.478261,11234.78261,22,4.15,0.883,4.1116,0.6038,0.6091,-0.0065,0.6053,0.2949,0.4788,34.9,30.5,38.3,38.3
39,"Indiv39",1843.478261,10191.30435,30,4.4,0.9362,4.2445,0.6156,0.605,0.0198,0.6006,0.3062,0.433,23.5,27,28.1,33.8
40,"Indiv40",1843.478261,9147.826087,37,4.45,0.9468,4.2798,0.6162,0.5865,0.0552,0.4015,0.2148,0.4676,30.2,27.2,29.4,31.2
41,"Indiv41",1843.478261,8104.347826,33,4.45,0.9468,4.2657,0.6171,0.6076,0.019,0.5166,0.246,0.4276,24.7,25.3,27,31.3
42,"Indiv42",1843.478261,7060.869565,27,4.4,0.9362,4.2837,0.6167,0.6,0.027,0.5643,0.2298,0.3643,23.8,21.3,20.3,23.8
43,"Indiv43",1843.478261,6017.391304,16,,,,,,,,,,,,,
44,"Indiv44",1843.478261,4973.913043,17,,,,,,,,,,,,,
45,"Indiv45",1843.478261,3930.434783,15,,,,,,,,,,,,,
46,"Indiv46",1843.478261,2886.956522,15,,,,,,,,,,,,,
47,"Indiv47",1843.478261,1843.478261,14,,,,,,,,,,,,,
48,"Indiv48",1843.478261,800,11,,,,,,,,,,,,,
49,"Indiv49",2886.956522,24800,33,4.1,0.8723,3.9907,0.5786,0.5879,,0.3455,0.1767,0.232,15.4,15.9,16.2,17.6
50,"Indiv50",2886.956522,23756.52174,34,4.1,0.8723,3.983,0.5795,0.5882,,0.3224,0.1351,0.2515,16.6,16.9,17,18.5
51,"Indiv51",2886.956522,22713.04348,33,4.1,0.8723,3.9907,0.5786,0.5879,,0.3456,0.1764,0.232,15.4,15.9,16.2,17.6
52,"Indiv52",2886.956522,21669.56522,29,4.15,0.883,4.0503,0.572,0.5776,,0.4798,0.133,0.2817,14.7,14.9,18.2,18.8
53,"Indiv53",2886.956522,20626.08696,25,4.05,0.8617,3.9937,0.5635,0.552,,0.4741,0.1219,0.3468,12.5,13.9,16.2,16.2
54,"Indiv54",2886.956522,19582.6087,15,,,,,,,,,,,,,
55,"Indiv55",2886.956522,18539.13043,11,,,,,,,,,,,,,
56,"Indiv56",2886.956522,17495.65217,14,,,,,,,,,,,,,
57,"Indiv57",2886.956522,16452.17391,10,,,,,,,,,,,,,
58,"Indiv58",2886.956522,15408.69565,11,,,,,,,,,,,,,
59,"Indiv59",2886.956522,14365.21739,11,,,,,,,,,,,,,
60,"Indiv60",2886.956522,13321.73913,14,,,,,,,,,,,,,
61,"Indiv61",2886.956522,12278.26087,23,4.45,0.9468,4.3474,0.5968,0.613,-0.0225,0.5178,0.261,0.4155,33.8,33.1,65.2,65.2
62,"Indiv62",2886.956522,11234.78261,38,4.55,0.9681,4.3072,0.6133,0.6,0.0344,0.4214,0.2339,0.4225,41.6,31.6,38.4,43.9
63,"Indiv63",2886.956522,10191.30435,43,4.5,0.9574,4.2762,0.611,0.5837,0.0528,0.3912,0.2178,0.4608,34.6,32.6,35.1,36.8
64,"Indiv64",2886.956522,9147.826087,43,4.5,0.9574,4.2927,0.6151,0.5895,0.0501,0.424,0.2408,0.4787,33.3,29,33.6,35.3
65,"Indiv65",2886.956522,8104.347826,41,4.45,0.9468,4.2564,0.614,0.589,0.0455,0.4537,0.2244,0.4157,28.5,27,29.5,31.1
66,"Indiv66",2886.956522,7060.869565,24,4.3,0.9149,4.2458,0.6102,0.6,0.0071,0.5471,0.2227,0.4748,21.6,23,24,24
67,"Indiv67",2886.956522,6017.391304,17,,,,,,,,,,,,,
68,"Indiv68",2886.956522,4973.913043,19,,,,,,,,,,,,,
69,"Indiv69",2886.956522,3930.434783,16,,,,,,,,,,,,,
70,"Indiv70",2886.956522,2886.956522,14,,,,,,,,,,,,,
71,"Indiv71",2886.956522,1843.478261,15,,,,,,,,,,,,,
72,"Indiv72",2886.956522,800,11,,,,,,,,,,,,,
73,"Indiv73",3930.434783,24800,25,4,0.8511,3.935,0.5616,0.58,,0.4886,0.2217,0.2965,14.3,18.3,20.1,20.1
74,"Indiv74",3930.434783,23756.52174,41,4.15,0.883,3.9945,0.5863,0.5854,,0.3972,0.1411,0.2746,23.6,24.4,24.7,27.8
75,"Indiv75",3930.434783,22713.04348,37,4.1,0.8723,3.9751,0.5835,0.5919,,0.3571,0.1579,0.2165,20.3,21.7,21.3,23
76,"Indiv76",3930.434783,21669.56522,40,4.1,0.8723,3.9665,0.5847,0.5738,,0.4041,0.1378,0.3266,18.4,22.3,21.8,23.5
77,"Indiv77",3930.434783,20626.08696,26,4.05,0.8617,3.961,0.5785,0.5712,,0.4278,0.1328,0.2949,13.1,13.8,14.6,15.6
78,"Indiv78",3930.434783,19582.6087,11,,,,,,,,,,,,,
79,"Indiv79",3930.434783,18539.13043,9,,,,,,,,,,,,,
80,"Indiv80",3930.434783,17495.65217,12,,,,,,,,,,,,,
81,"Indiv81",3930.434783,16452.17391,11,,,,,,,,,,,,,
82,"Indiv82",3930.434783,15408.69565,18,,,,,,,,,,,,,
83,"Indiv83",3930.434783,14365.21739,15,,,,,,,,,,,,,
84,"Indiv84",3930.434783,13321.73913,35,4.45,0.9468,4.2386,0.6102,0.5957,0.0293,0.5425,0.2311,0.3784,62,55.3,92.2,100.6
85,"Indiv85",3930.434783,12278.26087,48,4.6,0.9787,4.2802,0.6152,0.6021,0.0275,0.4602,0.1851,0.338,36.9,41,55,62.7
86,"Indiv86",3930.434783,11234.78261,48,4.55,0.9681,4.3037,0.6198,0.5958,0.0453,0.4467,0.2303,0.3965,39.8,43.1,47.9,53.5
87,"Indiv87",3930.434783,10191.30435,62,4.55,0.9681,4.3039,0.6184,0.6089,0.0214,0.4803,0.2329,0.3683,43.7,44.2,51.5,57.4
88,"Indiv88",3930.434783,9147.826087,62,4.55,0.9681,4.3038,0.6188,0.604,0.0303,0.4752,0.22,0.4141,47,47,54.1,60.8
89,"Indiv89",3930.434783,8104.347826,41,4.45,0.9468,4.266,0.6145,0.5805,0.0629,0.3486,0.1546,0.4712,33.7,29.3,32.8,34.7
90,"Indiv90",3930.434783,7060.869565,30,4.4,0.9362,4.2765,0.6224,0.615,0.0164,0.3981,0.1471,0.3446,23.4,20.8,23.6,25.5
91,"Indiv91",3930.434783,6017.391304,20,3.95,0.8404,3.95,0.5961,0.5975,,0.5534,0.1861,0.4003,36.4,35.5,35.6,35.6
92,"Indiv92",3930.434783,4973.913043,18,,,,,,,,,,,,,
93,"Indiv93",3930.434783,3930.434783,16,,,,,,,,,,,,,
94,"Indiv94",3930.434783,2886.956522,14,,,,,,,,,,,,,
95,"Indiv95",3930.434783,1843.478261,12,,,,,,,,,,,,,
96,"Indiv96",3930.434783,800,10,,,,,,,,,,,,,
97,"Indiv97",4973.913043,24800,27,4.2,0.8936,4.0963,0.5767,0.5704,,0.4693,0.1385,0.3399,17.9,21.4,22.7,27
98,"Indiv98",4973.913043,23756.52174,48,4.3,0.9149,4.0858,0.5957,0.5833,0.0159,0.426,0.1691,0.3095,24.1,26.5,26.7,30.5
99,"Indiv99",4973.913043,22713.04348,60,4.45,0.9468,4.1567,0.6003,0.5917,0.0096,0.3991,0.1293,0.2783,28.2,33.8,35.6,39.1
100,"Indiv100",4973.913043,21669.56522,56,4.45,0.9468,4.1662,0.5997,0.5839,0.0226,0.3506,0.1225,0.274,25.9,33.4,35.6,39
101,"Indiv101",4973.913043,20626.08696,21,4.05,0.8617,4.0355,0.5903,0.5738,,0.4471,0.1063,0.3284,13.4,19.8,20.9,20.9
102,"Indiv102",4973.913043,19582.6087,9,,,,,,,,,,,,,
103,"Indiv103",4973.913043,18539.13043,9,,,,,,,,,,,,,
104,"Indiv104",4973.913043,17495.65217,12,,,,,,,,,,,,,
105,"Indiv105",4973.913043,16452.17391,21,4.2,0.8936,4.1852,0.5919,0.5667,0.0312,0.5492,0.1865,0.4587,25.7,27.3,27.4,27.4
106,"Indiv106",4973.913043,15408.69565,42,4.45,0.9468,4.2757,0.6137,0.5833,0.044,0.5227,0.1702,0.4254,52.3,54.7,66.2,66.2
107,"Indiv107",4973.913043,14365.21739,54,4.5,0.9574,4.2732,0.6215,0.5963,0.0471,0.4915,0.1593,0.3316,88.1,88,92.5,101.1
108,"Indiv108",4973.913043,13321.73913,69,4.55,0.9681,4.2926,0.6262,0.6174,0.0153,0.5106,0.2327,0.3047,103.5,88.1,92.9,102.7
109,"Indiv109",4973.913043,12278.26087,67,4.6,0.9787,4.2899,0.6198,0.6164,0.006,0.5509,0.266,0.2318,88.8,88.5,93.8,110.3
110,"Indiv110",4973.913043,11234.78261,54,4.6,0.9787,4.3101,0.6168,0.5944,0.0421,0.506,0.202,0.4226,47.1,50.3,56.8,65.8
111,"Indiv111",4973.913043,10191.30435,62,4.55,0.9681,4.3029,0.6197,0.6113,0.0199,0.4807,0.2489,0.3612,47.1,48.9,54.1,60
112,"Indiv112",4973.913043,9147.826087,59,4.55,0.9681,4.3086,0.62,0.6085,0.0234,0.4193,0.2042,0.4261,44.9,45.1,52.6,59.3
113,"Indiv113",4973.913043,8104.347826,39,4.45,0.9468,4.2837,0.6193,0.5859,0.0596,0.3884,0.1845,0.425,23.2,25.4,29.8,33.2
114,"Indiv114",4973.913043,7060.869565,44,4.5,0.9574,4.2991,0.6242,0.6148,0.0188,0.2821,0.1522,0.2435,28.5,28.5,30.5,30.9
115,"Indiv115",4973.913043,6017.391304,26,4.25,0.9043,4.1722,0.6155,0.6077,0.0192,0.4035,0.1773,0.3234,22.6,22.2,26,27.2
116,"Indiv116",4973.913043,4973.913043,24,4.1,0.8723,4.046,0.5989,0.6021,-0.0126,0.5447,0.1347,0.4467,21.4,18.7,27.1,27.1
117,"Indiv117",4973.913043,3930.434783,24,4.05,0.8617,3.9929,0.6093,0.6042,4e-04,0.5066,0.1115,0.402,25.8,27.1,44.1,44.1
118,"Indiv118",4973.913043,2886.956522,18,,,,,,,,,,,,,
119,"Indiv119",4973.913043,1843.478261,10,,,,,,,,,,,,,
120,"Indiv120",4973.913043,800,7,,,,,,,,,,,,,
121,"Indiv121",6017.391304,24800,48,4.4,0.9362,4.1888,0.5973,0.6052,-0.0161,0.5492,0.1609,0.3535,40.3,47.2,51.5,58.2
122,"Indiv122",6017.391304,23756.52174,50,4.45,0.9468,4.1871,0.5988,0.592,0.0088,0.4561,0.1429,0.3267,34.5,43.4,46.7,50.4
123,"Indiv123",6017.391304,22713.04348,81,4.6,0.9787,4.2634,0.6106,0.6074,-0.0013,0.3685,0.1373,0.224,45.2,43.5,43.1,46.9
124,"Indiv124",6017.391304,21669.56522,69,4.55,0.9681,4.2526,0.6102,0.6072,-0.0027,0.3897,0.1915,0.1719,44,45.7,44.8,49.6
125,"Indiv125",6017.391304,20626.08696,40,4.4,0.9362,4.2037,0.6031,0.5812,0.0318,0.3792,0.1187,0.3657,32.6,42.3,44.2,45.3
126,"Indiv126",6017.391304,19582.6087,9,,,,,,,,,,,,,
127,"Indiv127",6017.391304,18539.13043,9,,,,,,,,,,,,,
128,"Indiv128",6017.391304,17495.65217,16,,,,,,,,,,,,,
129,"Indiv129",6017.391304,16452.17391,54,4.45,0.9468,4.204,0.6196,0.6065,0.0255,0.4776,0.1945,0.3291,75.3,63.6,77.4,84.3
130,"Indiv130",6017.391304,15408.69565,83,4.55,0.9681,4.2427,0.6215,0.609,0.0181,0.4523,0.1866,0.3623,68,66.7,79.4,92.9
131,"Indiv131",6017.391304,14365.21739,94,4.65,0.9894,4.2765,0.624,0.609,0.024,0.4592,0.2194,0.3108,91.4,84.9,100,118
132,"Indiv132",6017.391304,13321.73913,77,4.6,0.9787,4.2743,0.6236,0.6149,0.0156,0.4911,0.2258,0.3334,82.8,87.1,89.7,111.9
133,"Indiv133",6017.391304,12278.26087,91,4.65,0.9894,4.2876,0.6226,0.6165,0.0088,0.4237,0.2532,0.3234,96.5,91.9,90.5,99.4
134,"Indiv134",6017.391304,11234.78261,80,4.65,0.9894,4.2795,0.6202,0.6094,0.0151,0.4748,0.2162,0.365,111.5,86.5,82.5,94.3
135,"Indiv135",6017.391304,10191.30435,78,4.7,1,4.3166,0.6186,0.607,0.0182,0.4523,0.2217,0.3952,78.6,78.3,74.6,80.9
136,"Indiv136",6017.391304,9147.826087,61,4.6,0.9787,4.2907,0.6212,0.6041,0.039,0.3849,0.1689,0.3738,72.4,70.3,64.6,75.5
137,"Indiv137",6017.391304,8104.347826,53,4.55,0.9681,4.2684,0.6223,0.5972,0.0513,0.3312,0.1681,0.3913,46.4,45.7,47,49
138,"Indiv138",6017.391304,7060.869565,54,4.55,0.9681,4.2689,0.6254,0.6111,0.0287,0.3169,0.1662,0.2406,49.5,41.1,40.6,39.3
139,"Indiv139",6017.391304,6017.391304,40,4.25,0.9043,4.1161,0.6183,0.6125,0.0136,0.3493,0.1659,0.343,44.2,44.7,44.4,44
140,"Indiv140",6017.391304,4973.913043,38,4.15,0.883,4.0433,0.6084,0.5868,0.0382,0.4284,0.1979,0.306,44,50.5,52.5,45.2
141,"Indiv141",6017.391304,3930.434783,34,4.25,0.9043,4.1326,0.6119,0.5971,0.0254,0.4448,0.2098,0.3618,45.3,44.5,50.4,47.5
142,"Indiv142",6017.391304,2886.956522,32,4.2,0.8936,4.0908,0.614,0.6,0.0225,0.481,0.2601,0.3088,31.3,39.8,41,40.9
143,"Indiv143",6017.391304,1843.478261,18,,,,,,,,,,,,,
144,"Indiv144",6017.391304,800,8,,,,,,,,,,,,,
145,"Indiv145",7060.869565,24800,72,4.65,0.9894,4.3195,0.6129,0.6118,-0.004,0.5517,0.2426,0.3032,77,76.9,70.2,77
146,"Indiv146",7060.869565,23756.52174,61,4.55,0.9681,4.3047,0.6095,0.6098,-0.0026,0.5179,0.1914,0.302,56.1,59.6,54.6,60.4
147,"Indiv147",7060.869565,22713.04348,99,4.65,0.9894,4.2997,0.6164,0.6177,-0.0068,0.418,0.2015,0.31,59.8,61.8,60.3,66.2
148,"Indiv148",7060.869565,21669.56522,103,4.65,0.9894,4.3022,0.6168,0.6194,-0.0077,0.397,0.2197,0.2943,72.8,73.5,68.5,74.5
149,"Indiv149",7060.869565,20626.08696,76,4.6,0.9787,4.2997,0.6157,0.6125,5e-04,0.443,0.2012,0.2956,54.5,56.1,54.3,59.2
150,"Indiv150",7060.869565,19582.6087,35,4.4,0.9362,4.2847,0.6123,0.6057,-5e-04,0.4912,0.2445,0.3533,70.1,84,84.5,85.9
151,"Indiv151",7060.869565,18539.13043,43,4.45,0.9468,4.2692,0.629,0.6279,-0.0025,0.502,0.1677,0.2488,167.2,220.3,211.9,205.3
152,"Indiv152",7060.869565,17495.65217,71,4.6,0.9787,4.2586,0.6243,0.6275,-0.0087,0.46,0.2412,0.2794,90.2,92.7,115.4,138.4
153,"Indiv153",7060.869565,16452.17391,82,4.6,0.9787,4.2678,0.6237,0.6146,0.0139,0.4565,0.2394,0.2709,91.4,92.5,108.3,126.8
154,"Indiv154",7060.869565,15408.69565,98,4.6,0.9787,4.2635,0.6208,0.6143,0.0093,0.4562,0.237,0.3166,85.7,97.6,103,116.7
155,"Indiv155",7060.869565,14365.21739,109,4.65,0.9894,4.2827,0.6217,0.6133,0.014,0.4617,0.2188,0.3436,90.8,96.5,105.1,121.9
156,"Indiv156",7060.869565,13321.73913,90,4.6,0.9787,4.2617,0.6225,0.615,0.0123,0.4653,0.2471,0.2939,74.7,74.8,86.6,101.7
157,"Indiv157",7060.869565,12278.26087,98,4.7,1,4.3037,0.6247,0.6265,-0.0041,0.4883,0.2836,0.3597,138,106.1,104.1,114
158,"Indiv158",7060.869565,11234.78261,100,4.7,1,4.3051,0.6238,0.623,0.0029,0.4532,0.1664,0.3505,115,100.8,96,96.5
159,"Indiv159",7060.869565,10191.30435,98,4.7,1,4.3053,0.6263,0.6225,0.0077,0.4657,0.1809,0.3627,100.6,93.2,84.1,88.3
160,"Indiv160",7060.869565,9147.826087,74,4.65,0.9894,4.2876,0.6195,0.6068,0.0267,0.3222,0.1601,0.3264,85.6,82.2,72.4,77.7
161,"Indiv161",7060.869565,8104.347826,74,4.65,0.9894,4.2782,0.6226,0.6135,0.0208,0.3434,0.1831,0.3451,74.8,75.5,62.4,66.6
162,"Indiv162",7060.869565,7060.869565,70,4.5,0.9574,4.2077,0.6228,0.6179,0.0117,0.3763,0.1821,0.3295,79.7,65,67.1,73.8
163,"Indiv163",7060.869565,6017.391304,57,4.35,0.9255,4.1167,0.6186,0.614,0.0058,0.3651,0.2468,0.2735,115.1,75.7,72.6,67.1
164,"Indiv164",7060.869565,4973.913043,43,4.3,0.9149,4.114,0.6155,0.6081,0.0134,0.4095,0.191,0.3025,78.8,63.6,62.7,58.9
165,"Indiv165",7060.869565,3930.434783,38,4.3,0.9149,4.14,0.6107,0.5895,0.0359,0.4069,0.179,0.2902,28.1,30.7,36.8,36.5
166,"Indiv166",7060.869565,2886.956522,40,4.3,0.9149,4.1288,0.6107,0.6038,0.0098,0.4196,0.2082,0.2505,25.7,28.2,31,31.6
167,"Indiv167",7060.869565,1843.478261,24,3.95,0.8404,3.917,0.6005,0.6021,-0.0124,0.5995,0.1963,0.4125,46.7,62.2,61.1,61.1
168,"Indiv168",7060.869565,800,12,,,,,,,,,,,,,
